x,f(x)
-3.3960616585306065,3.972485790077658
-3.3615041393411187,4.584143857026555
-3.326946620151631,5.426099417539193
-3.292389100962143,6.656655539529323
-3.2578315817726553,8.622373633806374
-3.2232740625831675,12.256312102332314
-3.1887165433936797,21.22851509579922
-3.154159024204192,79.57956597938428
-3.119601505014704,-45.47650628171558
-3.0850439858252163,-17.693310861036824
-3.0504864666357285,-10.991402053355849
-3.0159289474462407,-7.978729755561942
-2.981371428256753,-6.268154047197721
-2.946813909067265,-5.1666378113600455
-2.9122563898777774,-4.398867956411766
-2.8776988706882896,-3.8337456880376783
-2.8431413514988018,-3.400894075362229
-2.808583832309314,-3.0591514808777025
-2.774026313119826,-2.782837935632568
-2.7394687939303384,-2.555102922691156
-2.7049112747408506,-2.3644317747748316
-2.670353755551363,-2.202689264585434
-2.635796236361875,-2.0639652091775327
-2.601238717172387,-1.9438630477120082
-2.5666811979828994,-1.839045005421753
-2.5321236787934116,-1.7469320034429323
-2.497566159603924,-1.6655001910658334
-2.463008640414436,-1.593139656954623
-2.428451121224948,-1.5285542284902085
-2.3938936020354604,-1.4706890667694965
-2.3593360828459726,-1.4186774626231318
-2.324778563656485,-1.3718011480649663
-2.290221044466997,-1.3294602839338692
-2.2556635252775092,-1.2911504826636004
-2.2211060060880214,-1.2564450184627058
-2.1865484868985336,-1.2249809121899868
-2.151990967709046,-1.1964479450898358
-2.117433448519558,-1.170579911037638
-2.0828759293300703,-1.147147597401878
-2.0483184101405825,-1.1259531137765066
-2.0137608909510947,-1.1068252814008355
-1.9792033717616069,-1.0896158646487226
-1.944645852572119,-1.0741964767578023
-1.9100883333826313,-1.0604560299782537
-1.8755308141931435,-1.048298629045759
-1.8409732950036557,-1.0376418288013507
-1.806415775814168,-1.0284151936652175
-1.77185825662468,-1.0205591098058255
-1.7373007374351923,-1.0140238111690356
-1.7027432182457045,-1.0087685887388158
-1.6681856990562167,-1.0047611590112815
-1.633628179866729,-1.0019771730711444
-1.5990706606772411,-1.000399852167597
-1.5645131414877533,-1.0000197395335042
-1.5299556222982655,-1.0008345615696903
-1.4953981031087777,-1.0028491945853775
-1.46084058391929,-1.0060757361862878
-1.4262830647298022,-1.010533683262348
-1.3917255455403144,-1.0162502214734666
-1.3571680263508266,-1.023260634296349
-1.3226105071613388,-1.0316088432237684
-1.288052987971851,-1.0413480947706704
-1.2534954687823632,-1.0525418147459296
-1.2189379495928754,-1.0652646560540937
-1.1843804304033876,-1.079603773430894
-1.1498229112138998,-1.0956603674247323
-1.115265392024412,-1.113551551190394
-1.0807078728349242,-1.1334126080349343
-1.0461503536454364,-1.155399726199891
-1.0115928344559486,-1.179693321520646
-0.9770353152664609,-1.20650209037271
-0.9424777960769732,-1.236067977499758
-0.9079202768874856,-1.2686722998948945
-0.8733627576979979,-1.3046433445787469
-0.8388052385085102,-1.3443658631728854
-0.8042477193190225,-1.388293031807541
-0.7696902001295348,-1.436961649357042
-0.7351326809400471,-1.4910116379179517
-0.7005751617505594,-1.5512113294904146
-0.6660176425610718,-1.618490638995285
-0.6314601233715841,-1.6939851433952136
-0.5969026041820964,-1.7790954854797743
-0.5623450849926087,-1.87556869327984
-0.527787565803121,-1.9856114586300888
-0.4932300466136333,-2.112051048022771
-0.45867252742414555,-2.258568965851853
-0.4241150082346578,-2.4300488648551037
-0.38955748904517007,-2.63310964661168
-0.35499996985568233,-2.876949942607951
-0.3204424506661946,-3.174739036750557
-0.28588493147670685,-3.5460166019462664
-0.2513274122872191,-4.021072233375408
-0.2167698930977314,-4.649514115872639
-0.18221237390824369,-5.518588261118902
-0.14765485471875597,-6.797222651405806
-0.11309733552926826,-8.860819005683561
-0.07853981633978055,-12.745494843176584
-0.04398229715029283,-22.743752479233873
-0.009424777960805111,-106.1048662068003
0.025132741228682608,-0.10692765809124355
0.05969026041817033,0.04541129763144444
0.09424777960765804,0.07175765462124606
0.12880529879714575,0.05108263768905662
0.16336281798663346,0.002598367380999157
0.19792033717612117,-0.06665785206054366
0.2324778563656089,-0.15387609060272214
0.2670353755550966,-0.25821192231969625
0.30159289474458434,-0.37997352470027823
0.3361504139340721,-0.5203087761240704
0.3707079331235598,-0.6811105133642503
0.40526545231304756,-0.8650443707199882
0.4398229715025353,-1.0756699618079522
0.47438049069202304,-1.317657703914734
0.5089380098815107,-1.5971265414395281
0.5434955290709984,-1.9221540492800617
0.5780530482604861,-2.3035500627789407
0.6126105674499738,-2.7560534609424687
0.6471680866394615,-3.300238904105531
0.6817256058289491,-3.9656707992783655
0.7162831250184368,-4.796366207956886
0.7508406442079245,-5.860807102355812
0.7853981633974122,-7.271629047375955
0.8199556825868999,-9.22798644257059
0.8545132017763876,-12.11829816746853
0.8890707209658752,-16.81504401377539
0.9236282401553629,-25.769919666215056
0.9581857593448506,-49.53956223769151
0.9927432785343383,-299.7697799108504
1.027300797723826,83.50403513990115
1.0618583169133138,38.54901882573213
1.0964158361028016,25.82433935648446
1.1309733552922894,19.81776956107756
1.1655308744817772,16.321620411693363
1.200088393671265,14.035071597140925
1.2346459128607528,12.423622735350145
1.2692034320502406,11.227232175909254
1.3037609512397283,10.304196902139495
1.3383184704292161,9.570713747252412
1.372875989618704,8.97404883584608
1.4074335088081917,8.479361270270758
1.4419910279976795,8.062708060644038
1.4765485471871673,7.7070926107838
1.5111060663766551,7.400116265760278
1.545663585566143,7.132522252749915
1.5802211047556307,6.897259961970337
1.6147786239451185,6.688864823509007
1.6493361431346063,6.503036207527088
1.683893662324094,6.336343303475087
1.718451181513582,6.186015887144127
1.7530087007030697,6.049792704984356
1.7875662198925575,5.92580977800277
1.8221237390820453,5.81251687890752
1.856681258271533,5.708614226875819
1.8912387774610209,5.613003912174303
1.9257962966505087,5.5247522016416974
1.9603538158399965,5.443059984089079
1.9949113350294843,5.367239376331726
2.029468854218972,5.29669504211308
2.06402637340846,5.230909152354232
2.0985838925979476,5.1694291848351686
2.1331414117874354,5.111857957067902
2.1676989309769232,5.057845429661094
2.202256450166411,5.007081923881267
2.236813969355899,4.9592924767636735
2.2713714885453866,4.914232117287464
2.3059290077348744,4.871681892963963
2.340486526924362,4.8314455113851755
2.37504404611385,4.793346488516998
2.409601565303338,4.757225716748038
2.4441590844928256,4.722939382360282
2.4787166036823134,4.690357175239418
2.513274122871801,4.659360744091408
2.547831642061289,4.629842358780267
2.5823891612507768,4.601703748110255
2.6169466804402646,4.574855086792212
2.6515041996297524,4.549214109731587
2.68606171881924,4.524705335360938
2.720619238008728,4.501259382677314
2.7551767571982158,4.478812369061972
2.7897342763877035,4.457305377956613
2.8242917955771913,4.436683987126577
2.858849314766679,4.416897849620752
2.893406833956167,4.397900320690419
2.9279643531456547,4.379648124895697
2.9625218723351425,4.362101058442008
2.9970793915246303,4.3452217224750465
3.031636910714118,4.3289752836447715
3.066194429903606,4.313329258742779
3.1007519490930937,4.298253320637885
3.1353094682825815,4.2837191230946186
3.1698669874720693,4.269700142367123
3.204424506661557,4.2561715337254356
3.238982025851045,4.243110001298786
3.2735395450405327,4.230493679817245
3.3080970642300205,4.218302027002971
3.3426545834195083,4.206515725509989
3.377212102608996,4.1951165934392876
3.411769621798484,4.184087502567951
3.4463271409879717,4.173412303528296
3.4808846601774595,4.163075757258398
3.5154421793669473,4.153063472119669
3.549999698556435,4.143361846143174
3.584557217745923,4.13395801392376
3.6191147369354106,4.1248397977319025
3.6536722561248984,4.115995662458123
3.6882297753143862,4.107414674044397
3.722787294503874,4.099086461092125
3.757344813693362,4.0910011793675
3.7919023328828496,4.083149478952629
3.8264598520723374,4.075522473815441
3.861017371261825,4.068111713593509
3.895574890451313,4.060909157406364
3.930132409640801,4.053907149528462
3.9646899288302886,4.047098396770553
3.9992474480197764,4.040475947431369
4.033804967209264,4.034033171694152
4.068362486398751,4.027763743353751
4.102920005588238,4.021661622770235
4.137477524777726,4.015721040954353
4.172035043967213,4.009936484698147
4.2065925631567005,4.004302682671705
4.241150082346188,3.998814592413694
4.275707601535675,3.993467388149538
4.3102651207251625,3.988256449376558
4.34482263991465,3.9831773501603487
4.379380159104137,3.9782258490914693
4.413937678293625,3.973397879855354
4.448495197483112,3.9686895423723842
4.483052716672599,3.964097094468368
4.517610235862087,3.959616944038822
4.552167755051574,3.9552456416732604
4.586725274241061,3.950979873708457
4.621282793430549,3.9468164556818275
4.655840312620036,3.9427523261584323
4.690397831809523,3.9387845409068953
4.724955350999011,3.9349102674016754
4.759512870188498,3.931126779630451
4.7940703893779855,3.927431453187183
4.828627908567473,3.9238217606326002
4.86318542775696,3.9202952671055136
4.8977429469464475,3.9168496261691206
4.932300466135935,3.913482575877871
4.966857985325422,3.9101919350513925
5.00141550451491,3.9069755997428715
5.035973023704397,3.9038315398901973
5.070530542893884,3.9007577961389757
5.105088062083372,3.897752476827177
5.139645581272859,3.8948137551220308
5.174203100462346,3.8919398663001523
5.208760619651834,3.889129105162858
5.243318138841321,3.886379823578627
5.277875658030808,3.88369042814573
5.312433177220296,3.8810593779681595
5.346990696409783,3.8784851825385345
5.38154821559927,3.875966399721933
5.416105734788758,3.873501633835357
5.450663253978245,3.871089533817303
5.4852207731677325,3.868728791482793
5.51977829235722,3.8664181398590762
5.554335811546707,3.8641563515978326
5.5888933307361945,3.8619422374598047
5.623450849925682,3.859774644867881
5.658008369115169,3.857652456525429
5.692565888304657,3.8555745890959296
5.727123407494144,3.8535399919413713
5.761680926683631,3.851547645915939
5.796238445873119,3.8495965622124535
5.830795965062606,3.8476857812587415
5.865353484252093,3.8458143716615485
5.899911003441581,3.8439814291956
5.934468522631068,3.8421860758355684
5.969026041820555,3.8404274588288208
6.003583561010043,3.8387047498070523
6.03814108019953,3.837017143934792
6.0726985993890175,3.835363859093192
6.107256118578505,3.8337441350972017
6.141813637767992,3.8321572329447093
6.1763711569574795,3.830602434096071
6.210928676146967,3.8290790397827026
6.245486195336454,3.827586370343183
6.280043714525942,3.826123764585813
6.314601233715429,3.824690579176307
6.349158752904916,3.823286188049534
6.383716272094404,3.8219099818440982
6.418273791283891,3.820561367358874
6.452831310473378,3.8192397670304477
6.487388829662866,3.8179446184305315
6.521946348852353,3.8166753737825134
6.55650386804184,3.815431499496199
6.591061387231328,3.8142124757200895
6.625618906420815,3.8130177959103477
6.660176425610302,3.8118469664157786
6.69473394479979,3.810699506078051
6.729291463989277,3.809574945846613
6.7638489831787645,3.8084728284076905
6.798406502368252,3.8073927078266556
6.832964021557739,3.806334149203276
6.8675215407472265,3.805296728339384
6.902079059936714,3.804280031418303
6.936636579126201,3.8032836546956736
6.971194098315689,3.802307204201134
7.005751617505176,3.801350295450461
7.040309136694663,3.800412553167692
7.074866655884151,3.7994936110169752
7.109424175073638,3.7985931113435014
7.143981694263125,3.7977107049234053
7.178539213452613,3.7968460507221593
7.2130967326421,3.795998815661147
7.247654251831587,3.795168674392102
7.282211771021075,3.7943553090790787
7.316769290210562,3.793558409187707
7.3513268094000495,3.7927776712814545
7.385884328589537,3.7920127988245773
7.420441847779024,3.791263501991528
7.4549993669685115,3.7905294974825825
7.489556886157999,3.7898105083454805
7.524114405347486,3.7891062638028066
7.558671924536974,3.788416499084897
7.593229443726461,3.7877409552680876
7.627786962915948,3.787079379118159
7.662344482105436,3.786431522938667
7.696902001294923,3.7857971444240777
7.73145952048441,3.785176006517475
7.766017039673898,3.7845678772727753
7.800574558863385,3.7839725297211158
7.835132078052872,3.7833897417414213
7.86968959724236,3.782819295934943
7.904247116431847,3.782260979503641
7.938804635621334,3.7817145841321578
7.973362154810822,3.7811799058736026
8.00791967400031,3.780656745038498
8.042477193189796,3.7801449060871777
8.077034712379284,3.7796441975254873
8.111592231568771,3.7791544318034087
8.146149750758259,3.778675425216808
8.180707269947746,3.7782069978119672
8.215264789137233,3.7777489732930145
8.24982230832672,3.777301178932004
8.284379827516208,3.7768634454815695
8.318937346705695,3.776435607090164
8.353494865895183,3.7760175012196577
8.38805238508467,3.7756089685654213
8.422609904274157,3.775209852978523
8.457167423463645,3.7748200013902142
8.491724942653132,3.7744392637386426
8.52628246184262,3.7740674928973417
8.560839981032107,3.7737045446060917
8.595397500221594,3.7733502774033876
8.629955019411081,3.77300455256096
8.664512538600569,3.7726672340200325
8.699070057790056,3.7723381883293703
8.733627576979544,3.7720172845849747
8.76818509616903,3.7717043943714716
8.802742615358518,3.771399391705056
8.837300134548006,3.7711021529779747
8.871857653737493,3.770812556904554
8.90641517292698,3.7705304844685745
8.940972692116468,3.7702558188721786
8.975530211305955,3.769988445486031
9.010087730495442,3.769728251800788
9.04464524968493,3.76947512737998
9.079202768874417,3.769228963813973
9.113760288063904,3.7689896546752015
9.148317807253392,3.7687570954746143
9.182875326442879,3.7685311836191246
9.217432845632366,3.7683118183702655
9.251990364821854,3.768098900803875
9.286547884011341,3.7678923337708308
9.321105403200828,3.7676920218587067
9.355662922390316,3.7674978713545015
9.390220441579803,3.76730979020826
9.42477796076929,3.767127687997626
